!ORDERID,!ITEMID,!PRODUCTID,!PRODUCTCODE,!PRODUCT,!PRICE,!AMOUNT,!PROVIDER,!OPTION_CLASS,!OPTION_VALUE,!EXTRA_DATA
251,340,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
252,341,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
252,342,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
252,343,9,3570,No Ruffled Feathers Decaf,11.09,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""11.09"";s:8:""subtotal"";s:5:""11.09"";}}"
253,344,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
254,345,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
255,346,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
256,347,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
257,348,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
258,349,8,3514,Morning Birdsong Breakfast Blend,10.49,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""31.47"";s:8:""subtotal"";s:5:""31.47"";}}"
258,350,7,3552,Flying Free French Roast,10.49,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""31.47"";s:8:""subtotal"";s:5:""31.47"";}}"
259,351,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
259,352,9,3570,No Ruffled Feathers Decaf,10.59,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""10.59"";s:8:""subtotal"";s:5:""10.59"";}}"
260,353,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:4:""8.39"";s:8:""subtotal"";s:4:""8.39"";}}"
260,354,9,3570,No Ruffled Feathers Decaf,11.09,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""35.49"";s:8:""subtotal"";s:5:""35.49"";}}"
261,355,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
262,356,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
262,357,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:4;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
262,358,9,3570,No Ruffled Feathers Decaf,11.09,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;i:6;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""11.09"";s:8:""subtotal"";s:5:""11.09"";}}"
263,359,9,3570,No Ruffled Feathers Decaf,11.09,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""33.27"";s:8:""subtotal"";s:5:""33.27"";}}"
264,360,7,3552,Flying Free French Roast,9.99,6,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""59.94"";s:8:""subtotal"";s:5:""59.94"";}}"
265,361,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
265,362,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
266,363,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
267,364,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
268,365,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
269,366,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
269,367,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
270,368,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
271,369,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
271,370,8,3514,Morning Birdsong Breakfast Blend,10.49,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""31.47"";s:8:""subtotal"";s:5:""31.47"";}}"
272,371,8,3514,Morning Birdsong Breakfast Blend,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
273,372,9,3570,No Ruffled Feathers Decaf,10.59,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""10.59"";s:8:""subtotal"";s:5:""10.59"";}}"
273,373,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
274,374,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
275,375,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
275,376,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
276,377,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
277,378,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
278,379,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
279,380,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
280,381,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
281,382,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
282,383,8,3514,Morning Birdsong Breakfast Blend,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
282,384,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
283,385,5,1542,Bodum Coffee Grinder,19.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""19.99"";s:16:""discounted_price"";s:5:""19.99"";s:8:""subtotal"";s:5:""19.99"";}}"
283,386,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
283,387,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
284,388,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
285,389,6,11140,PETA Coffee Gift Basket,34.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";N;s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""34.99"";s:16:""discounted_price"";s:5:""34.99"";s:8:""subtotal"";s:5:""34.99"";}}"
286,390,7,3552,Flying Free French Roast,10.49,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""41.96"";s:8:""subtotal"";s:5:""41.96"";}}"
287,391,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
288,392,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:10.4900000000000002131628207280300557613372802734375;s:16:""discounted_price"";d:10.4900000000000002131628207280300557613372802734375;s:8:""subtotal"";d:10.4900000000000002131628207280300557613372802734375;}}"
289,393,9,3570,No Ruffled Feathers Decaf,11.09,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""6"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""11.09"";s:16:""discounted_price"";s:5:""33.27"";s:8:""subtotal"";s:5:""33.27"";}}"
290,394,7,3552,Flying Free French Roast,9.99,6,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""59.94"";s:8:""subtotal"";s:5:""59.94"";}}"
291,395,9,3570,No Ruffled Feathers Decaf,10.59,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""10.59"";s:8:""subtotal"";s:5:""10.59"";}}"
292,396,7,3552,Flying Free French Roast,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
292,397,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
293,398,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
294,399,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
296,400,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
296,401,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
297,402,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
298,403,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:9.9900000000000002131628207280300557613372802734375;s:16:""discounted_price"";d:9.9900000000000002131628207280300557613372802734375;s:8:""subtotal"";d:9.9900000000000002131628207280300557613372802734375;}}"
298,404,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:9.9900000000000002131628207280300557613372802734375;s:16:""discounted_price"";d:9.9900000000000002131628207280300557613372802734375;s:8:""subtotal"";d:9.9900000000000002131628207280300557613372802734375;}}"
299,405,7,3552,Flying Free French Roast,9.99,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""29.97"";s:8:""subtotal"";s:5:""29.97"";}}"
299,406,8,3514,Morning Birdsong Breakfast Blend,9.99,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""29.97"";s:8:""subtotal"";s:5:""29.97"";}}"
300,407,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
301,408,8,3514,Morning Birdsong Breakfast Blend,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;i:3;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
301,409,7,3552,Flying Free French Roast,9.99,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:4:""9.99"";s:8:""subtotal"";s:4:""9.99"";}}"
303,410,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
304,411,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:1;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
305,412,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
306,413,9,3570,No Ruffled Feathers Decaf,10.59,3,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:3;s:1:""5"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:5:""10.59"";s:16:""discounted_price"";s:5:""31.77"";s:8:""subtotal"";s:5:""31.77"";}}"
307,414,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
308,415,7,3552,Flying Free French Roast,10.49,6,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""2"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";d:10.4900000000000002131628207280300557613372802734375;s:16:""discounted_price"";d:62.93999999999999772626324556767940521240234375;s:8:""subtotal"";d:62.93999999999999772626324556767940521240234375;}}"
309,416,7,3552,Flying Free French Roast,10.49,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""20.98"";s:8:""subtotal"";s:5:""20.98"";}}"
310,417,8,3514,Morning Birdsong Breakfast Blend,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""4"";}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
311,418,7,3552,Flying Free French Roast,9.99,4,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;s:1:""1"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""39.96"";s:8:""subtotal"";s:5:""39.96"";}}"
311,419,8,3514,Morning Birdsong Breakfast Blend,9.99,2,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:2;s:1:""3"";}s:5:""taxes"";a:0:{}s:7:""display"";a:3:{s:5:""price"";s:4:""9.99"";s:16:""discounted_price"";s:5:""19.98"";s:8:""subtotal"";s:5:""19.98"";}}"
312,420,7,3552,Flying Free French Roast,10.49,1,rtong@rogersfamilyco.com,,,"a:3:{s:15:""product_options"";a:1:{i:1;i:2;}s:5:""taxes"";N;s:7:""display"";a:3:{s:5:""price"";s:5:""10.49"";s:16:""discounted_price"";s:5:""10.49"";s:8:""subtotal"";s:5:""10.49"";}}"
